REF_DATE,GEO,DGUID,Type of employee,North American Industry Classification System (NAICS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2001-01,Canada,2021A000011124,All employees,Apparel knitting mills [3151],Persons,249,units,0,v1556588,1.1.57,12245,,,,0
2001-01,Canada,2021A000011124,All employees,Cut and sew clothing manufacturing [3152],Persons,249,units,0,v1556589,1.1.58,70212,,,,0
2001-01,Canada,2021A000011124,All employees,Clothing accessories and other clothing manufacturing [3159],Persons,249,units,0,v44308659,1.1.405,3181,,,,0
2001-01,Canada,2021A000011124,All employees,Leather and allied product manufacturing [316],Persons,249,units,0,v13920588,1.1.406,8536,,,,0
2001-01,Canada,2021A000011124,All employees,Leather and hide tanning and finishing [3161],Persons,249,units,0,v1556590,1.1.61,1498,,,,0
2001-01,Canada,2021A000011124,All employees,Footwear manufacturing [3162],Persons,249,units,0,v1556591,1.1.62,4621,,,,0
2001-01,Canada,2021A000011124,All employees,Other leather and allied product manufacturing [3169],Persons,249,units,0,v1556592,1.1.63,2417,,,,0
2001-01,Canada,2021A000011124,All employees,Paper manufacturing [322],Persons,249,units,0,v1556593,1.1.64,107447,,,,0
2001-01,Canada,2021A000011124,All employees,"Pulp, paper and paperboard mills [3221]",Persons,249,units,0,v1556594,1.1.65,67224,,,,0
2001-01,Canada,2021A000011124,All employees,Converted paper product manufacturing [3222],Persons,249,units,0,v1556595,1.1.66,40222,,,,0
2001-01,Canada,2021A000011124,All employees,"Printing and related support activities [323,3231]",Persons,249,units,0,v13920595,1.1.67,83909,,,,0
2001-01,Canada,2021A000011124,All employees,"Petroleum and coal product manufacturing [324,3241]",Persons,249,units,0,v13920602,1.1.407,14649,,,,0
2001-01,Canada,2021A000011124,All employees,Chemical manufacturing [325],Persons,249,units,0,v13920559,1.1.70,92318,,,,0
2001-01,Canada,2021A000011124,All employees,Basic chemical manufacturing [3251],Persons,249,units,0,v1556572,1.1.71,15001,,,,0
2001-01,Canada,2021A000011124,All employees,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [3252]",Persons,249,units,0,v13920563,1.1.72,9043,,,,0
2001-01,Canada,2021A000011124,All employees,"Pesticide, fertilizer and other agricultural chemical manufacturing [3253]",Persons,249,units,0,v13920565,1.1.73,5632,,,,0
2001-01,Canada,2021A000011124,All employees,Pharmaceutical and medicine manufacturing [3254],Persons,249,units,0,v1556573,1.1.74,23430,,,,0
2001-01,Canada,2021A000011124,All employees,"Paint, coating and adhesive manufacturing [3255]",Persons,249,units,0,v44308660,1.1.75,9945,,,,0
2001-01,Canada,2021A000011124,All employees,"Soap, cleaning compound and toilet preparation manufacturing [3256]",Persons,249,units,0,v1556574,1.1.76,15636,,,,0
2001-01,Canada,2021A000011124,All employees,Other chemical product manufacturing [3259],Persons,249,units,0,v1556575,1.1.77,13632,,,,0
2001-01,Canada,2021A000011124,All employees,Plastics and rubber products manufacturing [326],Persons,249,units,0,v1556576,1.1.78,123766,,,,0
2001-01,Canada,2021A000011124,All employees,Plastic product manufacturing [3261],Persons,249,units,0,v1556577,1.1.79,92641,,,,0
2001-01,Canada,2021A000011124,All employees,Rubber product manufacturing [3262],Persons,249,units,0,v1556578,1.1.80,31125,,,,0
2001-01,Canada,2021A000011124,All employees,Durable goods [321N],Persons,249,units,0,v1556596,1.1.84,1162457,,,,0
2001-01,Canada,2021A000011124,All employees,Wood product manufacturing [321],Persons,249,units,0,v1556597,1.1.85,133067,,,,0
2001-01,Canada,2021A000011124,All employees,Sawmills and wood preservation [3211],Persons,249,units,0,v1556598,1.1.86,64603,,,,0
2001-01,Canada,2021A000011124,All employees,"Veneer, plywood and engineered wood product manufacturing [3212]",Persons,249,units,0,v1556599,1.1.87,24530,,,,0
2001-01,Canada,2021A000011124,All employees,Other wood product manufacturing [3219],Persons,249,units,0,v1556600,1.1.88,43935,,,,0
2001-01,Canada,2021A000011124,All employees,Non-metallic mineral product manufacturing [327],Persons,249,units,0,v13920609,1.1.409,48190,,,,0
2001-01,Canada,2021A000011124,All employees,Clay product and refractory manufacturing [3271],Persons,249,units,0,v13920617,1.1.90,3443,,,,0
2001-01,Canada,2021A000011124,All employees,Glass and glass product manufacturing [3272],Persons,249,units,0,v1556601,1.1.91,12919,,,,0
2001-01,Canada,2021A000011124,All employees,Cement and concrete product manufacturing [3273],Persons,249,units,0,v1556602,1.1.92,20786,,,,0
2001-01,Canada,2021A000011124,All employees,Lime and gypsum product manufacturing [3274],Persons,249,units,0,v13920619,1.1.410,3399,,,,0
2001-01,Canada,2021A000011124,All employees,Other non-metallic mineral product manufacturing [3279],Persons,249,units,0,v1556603,1.1.94,7643,,,,0
2001-01,Canada,2021A000011124,All employees,Primary metal manufacturing [331],Persons,249,units,0,v13920621,1.1.95,95095,,,,0
2001-01,Canada,2021A000011124,All employees,Iron and steel mills and ferro-alloy manufacturing [3311],Persons,249,units,0,v1556604,1.1.96,27995,,,,0
2001-01,Canada,2021A000011124,All employees,Steel product manufacturing from purchased steel [3312],Persons,249,units,0,v1556605,1.1.97,13643,,,,0
2001-01,Canada,2021A000011124,All employees,Alumina and aluminum production and processing [3313],Persons,249,units,0,v1556606,1.1.98,16055,,,,0
2001-01,Canada,2021A000011124,All employees,Non-ferrous metal (except aluminum) production and processing [3314],Persons,249,units,0,v1556607,1.1.99,19055,,,,0
2001-01,Canada,2021A000011124,All employees,Foundries [3315],Persons,249,units,0,v1556608,1.1.100,18348,,,,0
2001-01,Canada,2021A000011124,All employees,Fabricated metal product manufacturing [332],Persons,249,units,0,v1556609,1.1.101,182682,,,,0
2001-01,Canada,2021A000011124,All employees,Forging and stamping [3321],Persons,249,units,0,v13920629,1.1.102,11823,,,,0
